area,units_per_area,txmonth,number_in_area,tariff
BEACON VALLEY,1009307.4,Nov-24,3447,Domestic
EASTRIDGE,810164.4,Nov-24,2860,Domestic
,2672144.1,Nov-24,9403,Domestic
LENTEGEUR,1243236.9,Nov-24,4420,Domestic
ROCKLANDS,1075632.9,Nov-24,3669,Domestic
TAFELSIG,1044920.1,Nov-24,3873,Lifeline2
TAFELSIG,836595.7,Nov-24,2518,Domestic
BONTEHEUWEL,1047311.1,Nov-24,2939,Domestic
MANENBERG,767818.6,Nov-24,2519,Domestic
GUGULETU,1048100.7,Nov-24,4890,Lifeline2
HANOVER PARK,746445.3,Nov-24,2935,Lifeline2
GUGULETU,1220536.4,Nov-24,9205,Lifeline1
MANENBERG,694161.4,Nov-24,2745,Lifeline2
GUGULETU,593343.2,Nov-24,2577,Domestic
BONTEHEUWEL,806328.2,Nov-24,2923,Lifeline2
,978982.5,Nov-24,3941,Lifeline2
PORTLANDS,840390.5,Nov-24,2610,Domestic
MFULENI,795596.8,Nov-24,3690,Lifeline2
OCEAN VIEW,490597.6,Nov-24,1682,Domestic
HEIDEVELD,511922.6,Nov-24,1601,Domestic
,4553334,Nov-24,9864,Home
LAVENDER HILL,443758.2,Nov-24,1732,Lifeline2
HANOVER PARK,437042,Nov-24,1174,Domestic
HANOVER PARK,395389.7,Nov-24,2355,Lifeline1
LANGA,425847.1,Nov-24,2031,Domestic
KUILSRIVIER,537944.1,Nov-24,1765,Domestic
RAVENSMEAD,558042.2,Nov-24,1552,Domestic
ASANDA,905592.3,Nov-24,1787,Domestic
RETREAT,556726.5,Nov-24,1615,Domestic
NYANGA,505082.2,Nov-24,2472,Lifeline2
PHILIPPI,708536.5,Nov-24,5569,Lifeline1
NYANGA,595459.4,Nov-24,4402,Lifeline1
BRIDGETOWN,651473.3,Nov-24,1731,Domestic
LOTUS RIVER,531682.8,Nov-24,1418,Domestic
WELTEVREDEN VALLEY,609819.4,Nov-24,2090,Domestic
,727281.7,Nov-24,4923,Lifeline1
WOODLANDS,319004.6,Nov-24,1178,Domestic
MITCHELLS PLAIN,492622.2,Nov-24,1607,Domestic
MANENBERG,376702.8,Nov-24,2357,Lifeline1
SCOTTSVILLE,297030.2,Nov-24,918,Domestic
SAXONSEA,354294,Nov-24,975,Domestic
TAFELSIG,389389.7,Nov-24,2199,Lifeline1
LANGA,653679.9,Nov-24,4700,Lifeline1
STRANDFONTEIN,1170734.5,Nov-24,3101,Home
VRYGROND,337185.5,Nov-24,966,Domestic
VALHALLA PARK,266679.3,Nov-24,1030,Lifeline2
FACTRETON,274775.1,Nov-24,933,Domestic
PHILIPPI,455202.2,Nov-24,2356,Lifeline2
WOODLANDS - MITCHELLS PLAIN,349510.9,Nov-24,1219,Domestic
BELLVILLE SOUTH,271460.5,Nov-24,725,Domestic
KUILSRIVIER,1849058.5,Nov-24,4108,Home
LAVENDER HILL,292586.6,Nov-24,1761,Lifeline1
GRASSY PARK,1214184.8,Nov-24,2861,Home
STRANDFONTEIN,679287.4,Nov-24,2150,Domestic
WESTRIDGE,320251.6,Nov-24,995,Domestic
LAVENDER HILL,240691.9,Nov-24,650,Domestic
LANSDOWNE,1743406.4,Nov-24,3514,Home
BELHAR,379642.1,Nov-24,1108,Domestic
HEIDEVELD,305796,Nov-24,1156,Lifeline2
MFULENI,246106.2,Nov-24,1075,Domestic
EASTRIDGE,264953.1,Nov-24,957,Lifeline2
