Meter ID,Substation,Feeder,Latitude,Longitude,City,Region,Date Time Hour Beginning
MTR-00001,Substation-52,Feeder-199,-30.94189039618883,24.922858993137773,Bloemfontein,Free State,2023-01-01 00:00:00.000000000
MTR-00002,Substation-93,Feeder-94,-30.439502537459397,30.70237247157634,Johannesburg,Free State,2023-01-01 00:10:30.660613212
MTR-00003,Substation-15,Feeder-45,-32.541189050546635,16.311834611911696,Port Elizabeth,Gauteng,2023-01-01 00:21:01.321226424
MTR-00004,Substation-72,Feeder-130,-25.878972498923908,18.801946673877055,Bloemfontein,Gauteng,2023-01-01 00:31:31.981839636
MTR-00005,Substation-61,Feeder-195,-23.30714390260851,30.68507081756926,Pretoria,Gauteng,2023-01-01 00:42:02.642452849
MTR-00006,Substation-21,Feeder-171,-32.58538102830054,27.424376314055223,Durban,Western Cape,2023-01-01 00:52:33.303066061
MTR-00007,Substation-83,Feeder-104,-34.550336018170675,26.895578832546356,Port Elizabeth,Western Cape,2023-01-01 01:03:03.963679273
MTR-00008,Substation-87,Feeder-107,-30.04348144252566,27.14530085469745,Durban,Gauteng,2023-01-01 01:13:34.624292485
MTR-00009,Substation-75,Feeder-146,-29.667988055272687,17.88394312821294,Port Elizabeth,KwaZulu-Natal,2023-01-01 01:24:05.284905698
MTR-00010,Substation-75,Feeder-39,-26.603774151844455,30.69151560175675,Port Elizabeth,Gauteng,2023-01-01 01:34:35.945518910
MTR-00011,Substation-88,Feeder-134,-33.88731701315368,17.661346850707197,Bloemfontein,Western Cape,2023-01-01 01:45:06.606132122
MTR-00012,Substation-24,Feeder-170,-24.3205207259032,19.476245884432096,Johannesburg,Free State,2023-01-01 01:55:37.266745334
MTR-00013,Substation-3,Feeder-180,-27.538171507223254,28.55592900006402,Port Elizabeth,KwaZulu-Natal,2023-01-01 02:06:07.927358547
MTR-00014,Substation-22,Feeder-27,-27.902378056134513,20.06821634092879,Pretoria,Western Cape,2023-01-01 02:16:38.587971759
MTR-00015,Substation-53,Feeder-143,-30.887280561705126,29.667547937096113,Bloemfontein,Eastern Cape,2023-01-01 02:27:09.248584971
MTR-00016,Substation-2,Feeder-19,-30.25152232926107,28.350065412910055,Port Elizabeth,Eastern Cape,2023-01-01 02:37:39.909198183
MTR-00017,Substation-88,Feeder-190,-34.279445743054794,28.61854404775898,Pretoria,Gauteng,2023-01-01 02:48:10.569811396
MTR-00018,Substation-30,Feeder-64,-25.20118789168265,23.192332796374718,Cape Town,Gauteng,2023-01-01 02:58:41.230424608
MTR-00019,Substation-38,Feeder-51,-27.138424675467924,25.503564276137617,Bloemfontein,Free State,2023-01-01 03:09:11.891037820
MTR-00020,Substation-2,Feeder-175,-22.30642940203974,23.602151735774342,Johannesburg,Free State,2023-01-01 03:19:42.551651033
MTR-00021,Substation-64,Feeder-57,-30.403696956131107,28.573706227405616,Durban,Eastern Cape,2023-01-01 03:30:13.212264245
MTR-00022,Substation-60,Feeder-20,-26.33883169776784,18.06123391183358,Port Elizabeth,Western Cape,2023-01-01 03:40:43.872877457
MTR-00023,Substation-21,Feeder-20,-23.045911137156523,23.726864637642695,Johannesburg,Gauteng,2023-01-01 03:51:14.533490669
MTR-00024,Substation-33,Feeder-82,-25.74814844188323,29.46131322320329,Cape Town,Western Cape,2023-01-01 04:01:45.194103882
MTR-00025,Substation-76,Feeder-192,-34.47596317895907,19.74637273967101,Durban,Free State,2023-01-01 04:12:15.854717094
MTR-00026,Substation-58,Feeder-101,-26.780921566907388,23.429325610193523,Johannesburg,Free State,2023-01-01 04:22:46.515330306
MTR-00027,Substation-22,Feeder-38,-27.909916814301873,20.947696556876583,Cape Town,Eastern Cape,2023-01-01 04:33:17.175943518
MTR-00028,Substation-89,Feeder-38,-28.50892660214154,23.60595928646065,Bloemfontein,Gauteng,2023-01-01 04:43:47.836556731
MTR-00029,Substation-49,Feeder-65,-27.810428420873087,16.85721987227179,Port Elizabeth,Western Cape,2023-01-01 04:54:18.497169943
MTR-00030,Substation-91,Feeder-76,-29.012644251098624,24.078382546907946,Johannesburg,Eastern Cape,2023-01-01 05:04:49.157783155
MTR-00031,Substation-59,Feeder-133,-26.0061809756316,22.913241063786842,Cape Town,Western Cape,2023-01-01 05:15:19.818396367
MTR-00032,Substation-42,Feeder-192,-34.80613226358715,31.937710498152587,Pretoria,KwaZulu-Natal,2023-01-01 05:25:50.479009580
MTR-00033,Substation-92,Feeder-123,-32.54872373700726,20.317214551872038,Port Elizabeth,Gauteng,2023-01-01 05:36:21.139622792
MTR-00034,Substation-60,Feeder-125,-30.24998682602994,20.403768580223044,Bloemfontein,Free State,2023-01-01 05:46:51.800236004
MTR-00035,Substation-80,Feeder-27,-29.115325486385668,18.559576358296276,Port Elizabeth,KwaZulu-Natal,2023-01-01 05:57:22.460849216
MTR-00036,Substation-15,Feeder-103,-33.30367747597029,20.244749888182703,Bloemfontein,Eastern Cape,2023-01-01 06:07:53.121462429
MTR-00037,Substation-62,Feeder-20,-24.338102291755362,32.03738277703316,Bloemfontein,Gauteng,2023-01-01 06:18:23.782075641
MTR-00038,Substation-62,Feeder-60,-22.91791217143513,26.66724583289197,Durban,Gauteng,2023-01-01 06:28:54.442688853
MTR-00039,Substation-47,Feeder-168,-25.23419863830545,16.265008060144034,Cape Town,Gauteng,2023-01-01 06:39:25.103302066
MTR-00040,Substation-62,Feeder-83,-22.925365371726613,16.5853911365112,Pretoria,KwaZulu-Natal,2023-01-01 06:49:55.763915278
MTR-00041,Substation-51,Feeder-6,-25.338122156394505,16.458783021047545,Durban,Western Cape,2023-01-01 07:00:26.424528490
MTR-00042,Substation-55,Feeder-164,-29.26627175554259,20.302314252252216,Durban,Gauteng,2023-01-01 07:10:57.085141702
MTR-00043,Substation-64,Feeder-112,-29.889271346296702,16.978350306176377,Cape Town,Western Cape,2023-01-01 07:21:27.745754915
MTR-00044,Substation-3,Feeder-193,-32.83680803534748,17.14023143396114,Pretoria,KwaZulu-Natal,2023-01-01 07:31:58.406368127
MTR-00045,Substation-51,Feeder-139,-33.876188466619475,23.44283484231574,Pretoria,Western Cape,2023-01-01 07:42:29.066981339
MTR-00046,Substation-7,Feeder-177,-32.14496233341428,16.13050370854474,Port Elizabeth,Western Cape,2023-01-01 07:52:59.727594551
MTR-00047,Substation-21,Feeder-114,-28.082235480955017,16.27989550671583,Port Elizabeth,Eastern Cape,2023-01-01 08:03:30.388207764
MTR-00048,Substation-73,Feeder-84,-33.24568703553076,26.53730088914496,Port Elizabeth,Free State,2023-01-01 08:14:01.048820976
MTR-00049,Substation-39,Feeder-156,-22.634873901537468,27.860149262238558,Cape Town,Western Cape,2023-01-01 08:24:31.709434188
MTR-00050,Substation-18,Feeder-22,-32.15946805833109,32.402084658483915,Bloemfontein,Gauteng,2023-01-01 08:35:02.370047400
MTR-00051,Substation-4,Feeder-84,-24.16279186076291,24.223965271607376,Johannesburg,Western Cape,2023-01-01 08:45:33.030660613
MTR-00052,Substation-89,Feeder-47,-24.35535348286215,25.65788153223649,Pretoria,Gauteng,2023-01-01 08:56:03.691273825
MTR-00053,Substation-60,Feeder-102,-33.16435019845102,26.072921379201368,Durban,Western Cape,2023-01-01 09:06:34.351887037
MTR-00054,Substation-14,Feeder-80,-25.760342980930567,28.720499985729226,Bloemfontein,Gauteng,2023-01-01 09:17:05.012500250
MTR-00055,Substation-9,Feeder-194,-24.286520120276727,23.060027496023867,Johannesburg,Free State,2023-01-01 09:27:35.673113462
MTR-00056,Substation-90,Feeder-25,-23.504264296890128,32.745529058697045,Durban,KwaZulu-Natal,2023-01-01 09:38:06.333726674
MTR-00057,Substation-53,Feeder-91,-22.598265145638543,24.48226353473571,Port Elizabeth,Eastern Cape,2023-01-01 09:48:36.994339886
MTR-00058,Substation-2,Feeder-67,-22.908654962071722,18.1705365236486,Port Elizabeth,Western Cape,2023-01-01 09:59:07.654953099
MTR-00059,Substation-84,Feeder-160,-30.95521825223795,28.710164048394084,Port Elizabeth,KwaZulu-Natal,2023-01-01 10:09:38.315566311
MTR-00060,Substation-92,Feeder-145,-31.520472693837206,24.83130698548697,Durban,Free State,2023-01-01 10:20:08.976179523
