Date Time Hour Beginning,Original Res Forecast before Lockdown,Residual Forecast,RSA Contracted Forecast,Dispatchable Generation,Residual Demand,RSA Contracted Demand,International Exports,International Imports,Thermal Generation,Nuclear Generation,Eskom Gas Generation,Eskom OCGT Generation,Hydro Water Generation,Pumped Water Generation,ILS Usage,Manual Load_Reduction(MLR),IOS Excl ILS and MLR,Dispatchable IPP OCGT,Eskom Gas SCO,Eskom OCGT SCO,Hydro Water SCO,Pumped Water SCO Pumping,Wind,PV,CSP,Other RE,Total RE,Wind Installed Capacity,PV Installed Capacity,CSP Installed Capacity,Other RE Installed Capacity,Total RE Installed Capacity,Installed Eskom Capacity,Total PCLF,Total UCLF,Total OCLF,Total UCLF+OCLF,Non Comm Sentout,Drakensberg Gen Unit Hours,Palmiet Gen Unit Hours,Ingula Gen Unit Hours,Meter ID,Substation,Feeder,Latitude,Longitude,City,Region
1970-01-01 00:00:00.000021964,15973.653,16700.031,15695.4,15695.4,16758.232,1704.954,1069.0,15560.0,1621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6,0.0,-2551.0,1053.539,0.0,0.0,9.293,1062.832,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8954.3,8233.256,903.962,9137.0,218.0,498.0,86.2,44.8,21.69,,,,,,,
1970-01-01 00:00:00.000021486,15649.973,16357.728,15450.27,15450.27,16401.964,1716.99,938.0,15423.0,1621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.73,0.0,-2528.0,942.265,0.0,0.0,9.429,951.694,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8930.0,8224.32,903.962,9128.0,282.0,495.0,88.2,46.8,24.79,,,,,,,
1970-01-01 00:00:00.000021366,15452.154,16136.543,15211.4,15211.4,16136.822,1691.063,848.0,15319.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6,0.0,-2572.0,915.664,0.0,0.0,9.758,925.422,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8930.0,8284.563,903.962,9188.0,525.0,492.0,89.7,48.0,28.22,,,,,,,
1970-01-01 00:00:00.000021535,15572.487,16222.955,15206.27,15206.27,16169.168,1657.44,831.0,15317.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.73,0.0,-2558.0,953.095,0.0,0.0,9.803,962.898,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8751.4,8571.934,903.962,9475.0,896.0,492.0,91.2,50.0,31.44,,,,,,,
1970-01-01 00:00:00.000022623,16011.992,16623.471,15574.27,15574.27,16502.843,1640.295,944.0,15506.0,1621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.73,0.0,-2493.0,919.0,0.0,0.0,9.573,928.573,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8742.0,8406.206,903.962,9310.0,168.0,499.0,93.0,52.0,34.79,,,,,,,
1970-01-01 00:00:00.000024219,16785.945,17394.123,16273.4,16273.4,17122.29,1662.671,1262.0,15519.0,1621.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6,0.0,-2131.0,839.449,0.0,0.0,9.441,848.89,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9012.317,8349.262,708.152,9057.0,414.0,526.0,94.3,53.6,38.25,,,,,,,
1970-01-01 00:00:00.000025732,17555.71,18228.14,17060.27,17060.27,17988.178,1656.855,1324.0,15392.0,1621.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.73,0.0,-1574.0,913.506,4.788,0.0,9.614,927.908,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9073.0,8455.951,708.152,9164.0,103.0,665.0,96.0,55.5,40.51,,,,,,,
1970-01-01 00:00:00.000026887,18545.611,19367.972,18182.4,18182.4,19390.353,1626.704,1369.0,15394.0,1621.0,0.0,0.0,221.0,20.0,0.0,0.0,0.0,0.0,-2.0,-1.6,0.0,-439.0,967.579,229.567,0.0,10.807,1207.953,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9073.0,8329.359,778.918,9108.0,277.0,679.0,97.5,56.7,41.51,,,,,,,
1970-01-01 00:00:00.000027754,19416.468,20551.13,19291.27,19291.27,20976.821,1689.123,1406.0,15633.0,1622.0,0.0,0.0,90.0,559.0,0.0,0.0,0.0,0.0,-1.0,-1.73,0.0,-16.0,915.007,726.795,32.496,11.253,1685.551,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9073.0,8316.185,849.684,9165.0,869.0,679.0,98.4,57.5,41.27,,,,,,,
1970-01-01 00:00:00.000027430,20163.966,21600.075,19608.27,19608.27,21772.079,1716.927,1423.0,15803.0,1622.0,0.0,0.0,14.0,763.0,0.0,0.0,0.0,0.0,-1.0,-1.73,0.0,-14.0,907.042,1076.355,169.501,10.911,2163.809,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9073.0,8316.185,849.684,9165.0,869.0,705.0,97.8,56.7,40.51,,,,,,,
1970-01-01 00:00:00.000027443,20200.527,21731.082,19656.4,19656.4,22243.673,1885.896,1417.0,15548.0,1621.0,0.0,0.0,0.0,1083.0,0.0,0.0,0.0,0.0,-1.0,-1.6,0.0,-10.0,991.316,1336.518,248.679,10.76,2587.273,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9073.0,8418.791,849.684,9268.0,475.0,824.0,96.3,55.9,39.92,,,,,,,
1970-01-01 00:00:00.000027370,20034.206,21638.942,19564.4,19564.4,22213.333,1897.04,1406.0,15199.0,1621.0,0.0,0.0,0.0,1348.0,0.0,0.0,0.0,0.0,-1.0,-1.6,0.0,-7.0,944.342,1399.521,294.444,10.626,2648.933,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9073.0,8179.362,849.684,9029.0,46.0,902.0,95.1,55.2,38.37,,,,,,,
1970-01-01 00:00:00.000027060,19904.234,21507.172,19529.27,19529.27,22068.09,1808.086,1398.0,15329.0,1621.0,0.0,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,-1.0,-1.73,0.0,-13.0,833.61,1393.917,300.509,10.784,2538.82,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9073.0,8291.632,849.684,9141.0,316.0,983.0,93.6,54.4,36.2,,,,,,,
1970-01-01 00:00:00.000026790,19811.601,21376.824,19414.4,19414.4,21871.92,1747.89,1418.0,15360.0,1621.0,0.0,0.0,0.0,1027.0,0.0,0.0,0.0,0.0,-1.0,-1.6,0.0,-9.0,759.394,1375.694,311.55,10.882,2457.52,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9028.667,8232.699,849.684,9082.0,383.0,971.0,92.4,53.6,34.49,,,,,,,
1970-01-01 00:00:00.000027077,19926.017,21422.412,19624.27,19624.27,21961.01,1805.257,1422.0,15102.0,1621.0,0.0,0.0,0.0,1484.0,0.0,0.0,0.0,0.0,-1.0,-1.73,0.0,-2.0,814.703,1219.27,292.521,10.246,2336.74,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8978.0,8259.232,830.125,9089.0,357.0,783.0,91.5,52.0,33.13,,,,,,,
1970-01-01 00:00:00.000027320,20511.92,21927.534,20070.4,20070.4,22292.376,1828.458,1413.0,15524.0,1621.0,0.0,0.0,0.0,1524.0,0.0,0.0,0.0,0.0,-1.0,-1.6,0.0,-9.0,824.041,1072.306,315.34,10.289,2221.976,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8784.917,8449.295,871.976,9321.0,271.0,946.0,90.3,50.0,31.07,,,,,,,
1970-01-01 00:00:00.000027718,21402.051,22678.133,21236.27,21236.27,23304.75,1876.288,1412.0,16596.0,1621.0,0.0,0.0,0.0,1618.0,0.0,0.0,0.0,0.0,-1.0,-1.73,0.0,-8.0,850.201,849.546,357.712,11.021,2068.48,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8647.0,8520.069,884.249,9404.0,318.0,852.0,89.0,47.2,28.66,,,,,,,
1970-01-01 00:00:00.000028401,22612.387,23688.48,23065.27,23065.27,24631.145,1914.405,1379.0,18339.0,1621.0,0.0,0.0,24.0,1715.0,0.0,0.0,0.0,0.0,-1.0,-1.73,0.0,-10.0,866.121,341.754,347.263,10.737,1565.875,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8602.667,8396.416,778.264,9174.0,68.0,870.0,87.0,47.2,25.9,,,,,,,
1970-01-01 00:00:00.000029875,24084.741,25031.637,24297.53,24297.53,25527.533,1970.867,1279.0,19051.0,1621.0,0.0,0.0,484.0,1868.0,0.0,0.0,0.0,0.0,-1.0,-1.47,0.0,-3.0,880.513,13.365,325.884,10.241,1230.003,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8552.0,8405.527,872.669,9278.0,196.0,870.0,85.8,44.8,23.15,,,,,,,
1970-01-01 00:00:00.000029422,23002.369,23973.946,22915.27,22915.27,24197.715,1935.532,1273.0,18900.0,1621.0,0.0,0.0,398.0,742.0,0.0,0.0,0.0,0.0,-1.0,-1.73,0.0,-16.0,963.452,0.0,309.93,9.063,1282.445,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8552.0,8561.221,881.102,9442.0,323.0,869.0,83.8,42.5,20.08,,,,,,,
1970-01-01 00:00:00.000027500,21190.094,22189.791,20980.4,20980.4,22354.448,1992.828,1192.0,18537.0,1622.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.6,0.0,-478.0,1071.267,0.0,292.409,10.372,1374.048,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8552.0,8658.676,855.085,9513.0,761.0,871.0,83.4,41.7,19.27,,,,,,,
1970-01-01 00:00:00.000025221,19374.757,20358.092,18907.4,18907.4,20343.5,1866.993,1166.0,17240.0,1623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.6,0.0,-1119.0,1149.73,0.0,275.82,10.55,1436.1,2079.76,1699.19,500.0,21.78,4300.73,45017.0,8757.0,8295.573,967.755,9263.0,328.0,880.0,83.8,42.5,19.34,,,,,,,
1970-01-01 00:00:00.000023604,17833.009,18785.159,17283.27,17283.27,18428.109,1661.951,1170.0,16477.0,1622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.73,0.0,-1983.0,1124.814,0.0,9.948,10.077,1144.839,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9167.0,8062.748,957.373,9020.0,121.0,874.0,85.4,43.7,19.61,,,,,,,
1970-01-01 00:00:00.000022372,16761.619,17591.82,16088.27,16088.27,17210.255,1702.945,1174.0,15485.0,1623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.73,0.0,-2191.0,1111.869,0.0,0.0,10.116,1121.985,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9167.0,7988.934,905.24,8894.0,174.0,868.0,87.4,45.6,22.02,,,,,,,
1970-01-01 00:00:00.000021794,16262.175,17386.394,15467.4,15467.4,16590.822,1627.584,838.0,15184.0,1623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.6,0.0,-2175.0,1114.141,0.0,0.0,9.281,1123.422,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9167.0,8011.048,905.24,8916.0,288.0,867.0,89.4,47.6,24.2,,,,,,,
1970-01-01 00:00:00.000021447,15485.863,16558.925,15307.27,15307.27,16203.647,1541.969,735.0,15164.0,1623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.73,0.0,-2212.0,887.696,0.0,0.0,8.681,896.377,2079.76,1699.19,500.0,21.78,4300.73,45017.0,9167.0,7957.914,905.24,8863.0,154.0,868.0,90.6,48.8,26.93,,,,,,,
